BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
t32,129.2773,0.0,-0.0,0.0,0.0,0.0,0.0,179.61690000000007,-22.894200000000005,-286.0,98.9157,0.0,-0.0,0.0,0.0,0.0,0.0,850.1337500000001,-23.049450000000004,-926.0,1279.0190640624949,0.0,-53.76176406249466,0.0,0.0,0.0,0.0,-1007.1433000000001,-21.114,-197.0,145.4024,0.0,-0.0,0.0,0.0,0.0,0.0,-22.607349999999972,-10.79505,-112.0
t33,160.4935,0.0,-0.0,0.0,0.0,0.0,0.0,146.40069999999983,-22.894200000000005,-284.0,137.68810000000002,0.0,-0.0,0.0,0.0,0.0,0.0,805.3613499999999,-23.049450000000004,-920.0,1339.3462640624948,0.0,-250.97356406249506,0.0,0.0,0.0,0.0,-871.2586999999997,-21.114,-196.0,203.2984,0.0,-0.0,0.0,0.0,0.0,0.0,-80.50335,-10.79505,-112.0
t34,191.73999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,121.1542000000001,-22.894200000000005,-290.0,174.854,0.0,-0.0,0.0,0.0,0.0,0.0,788.1954500000002,-23.049450000000004,-940.0,1393.7998640624949,0.0,-388.70436406249473,0.0,0.0,0.0,0.0,-782.9815000000002,-21.114,-201.0,251.1632,0.0,-0.0,0.0,0.0,0.0,0.0,-126.36814999999999,-10.79505,-114.0
t35,206.787,0.0,-0.0,0.0,0.0,0.0,0.0,104.10720000000006,-22.894200000000005,-288.0,191.34720000000002,0.0,-0.0,0.0,0.0,0.0,0.0,765.7022499999999,-23.049450000000004,-934.0,1339.3718640624948,0.0,-401.7169640624948,0.0,0.0,0.0,0.0,-716.5409,-21.114,-200.0,278.06359999999995,0.0,-0.0,0.0,0.0,0.0,0.0,-153.26854999999998,-10.79505,-114.0
t36,210.2735,0.0,-0.0,0.0,0.0,0.0,0.0,118.62070000000014,-22.894200000000005,-306.0,196.8257,0.0,-0.0,0.0,0.0,0.0,0.0,816.2237499999995,-23.049450000000004,-990.0,1346.648064062495,0.0,-334.87296406249504,0.0,0.0,0.0,0.0,-779.6610999999998,-21.114,-211.0,285.97839999999997,0.0,-0.0,0.0,0.0,0.0,0.0,-155.18334999999993,-10.79505,-120.0
t37,204.44540000000003,0.0,-0.0,0.0,0.0,0.0,0.0,150.44879999999995,-22.894200000000005,-332.0,194.7802,0.0,-0.0,0.0,0.0,0.0,0.0,902.26925,-23.049450000000004,-1074.0,1338.322664062495,0.0,-175.4771640624947,0.0,0.0,0.0,0.0,-913.7315,-21.114,-228.0,279.78159999999997,0.0,-0.0,0.0,0.0,0.0,0.0,-138.98655,-10.79505,-130.0
t38,191.89520000000002,0.0,-0.0,0.0,0.0,0.0,0.0,179.9989999999999,-22.894200000000005,-349.0,184.2618,0.0,-0.0,0.0,0.0,0.0,0.0,967.7876499999999,-23.049450000000004,-1129.0,1403.5798640624946,0.0,-108.43216406249499,0.0,0.0,0.0,0.0,-1034.0336999999997,-21.114,-240.0,260.548,0.0,-0.0,0.0,0.0,0.0,0.0,-113.75294999999997,-10.79505,-136.0
t39,185.25619999999998,0.0,-0.0,0.0,0.0,0.0,0.0,202.63799999999986,-22.894200000000005,-365.0,172.081,0.0,-0.0,0.0,0.0,0.0,0.0,1028.96845,-23.049450000000004,-1178.0,1305.0192640624946,116.76343593750471,-0.0,0.0,0.0,0.0,0.0,-1150.6686999999997,-21.114,-250.0,233.73279999999997,0.0,-0.0,0.0,0.0,0.0,0.0,-80.93774999999998,-10.79505,-142.0
t40,172.2845,0.0,-0.0,0.0,0.0,0.0,0.0,227.60969999999998,-22.894200000000005,-377.0,155.1209,0.0,-0.0,0.0,0.0,0.0,0.0,1083.92855,-23.049450000000004,-1216.0,1365.442664062495,185.22863593750526,-0.0,0.0,0.0,0.0,0.0,-1271.5573,-21.114,-258.0,197.77599999999998,0.0,-0.0,0.0,0.0,0.0,0.0,-39.98094999999996,-10.79505,-147.0
t41,152.04630000000003,0.0,-0.0,0.0,0.0,0.0,0.0,251.8479,-22.894200000000005,-381.0,127.18670000000002,0.0,-0.0,0.0,0.0,0.0,0.0,1124.8627500000002,-23.049450000000004,-1229.0,1326.4014640624948,330.53823593750553,-0.0,0.0,0.0,0.0,0.0,-1374.8257,-21.114,-261.0,160.67999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,-1.8849499999999408,-10.79505,-148.0
t42,132.639,0.0,-0.0,0.0,0.0,0.0,0.0,270.2552,-22.894200000000005,-380.0,119.859,0.0,-0.0,0.0,0.0,0.0,0.0,1128.1904500000003,-23.049450000000004,-1225.0,1285.1518640624947,425.83003593750493,-0.0,0.0,0.0,0.0,0.0,-1429.8679000000002,-21.114,-260.0,127.37280000000001,0.0,-0.0,0.0,0.0,0.0,0.0,31.422249999999984,-10.79505,-148.0
t43,126.414,0.0,-0.0,0.0,0.0,0.0,0.0,276.48019999999974,-22.894200000000005,-380.0,100.30200000000002,0.0,-0.0,0.0,0.0,0.0,0.0,1147.7474500000003,-23.049450000000004,-1225.0,1273.771664062495,467.7306359375051,-0.0,0.0,0.0,0.0,0.0,-1460.3882999999996,-21.114,-260.0,122.6344,0.0,-0.0,0.0,0.0,0.0,0.0,36.16065000000002,-10.79505,-148.0
t44,125.754,0.0,-0.0,0.0,0.0,0.0,0.0,276.14019999999994,-22.894200000000005,-379.0,98.64580000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1147.4036500000002,-23.049450000000004,-1223.0,1277.4166640624949,459.1318359375052,-0.0,0.0,0.0,0.0,0.0,-1455.4345,-21.114,-260.0,126.9044,0.0,-0.0,0.0,0.0,0.0,0.0,31.890650000000022,-10.79505,-148.0
t45,125.07000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,272.8242000000001,-22.894200000000005,-375.0,95.83940000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1135.21005,-23.049450000000004,-1208.0,1269.5851640624949,444.7457359375049,-0.0,0.0,0.0,0.0,0.0,-1436.2169,-21.114,-257.0,128.6124,0.0,-0.0,0.0,0.0,0.0,0.0,28.182649999999974,-10.79505,-146.0
t46,124.55499999999999,0.0,-0.0,0.0,0.0,0.0,0.0,278.3392,-22.894200000000005,-380.0,91.63220000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1155.41725,-23.049450000000004,-1224.0,1268.2056640624949,479.434235937505,-0.0,0.0,0.0,0.0,0.0,-1467.5259,-21.114,-259.0,125.02560000000001,0.0,-0.0,0.0,0.0,0.0,0.0,33.76944999999998,-10.79505,-148.0
t47,121.02199999999999,0.0,-0.0,0.0,0.0,0.0,0.0,297.87220000000013,-22.894200000000005,-396.0,88.69180000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1206.35765,-23.049450000000004,-1272.0,1262.8371640624948,571.8629359375053,-0.0,0.0,0.0,0.0,0.0,-1546.5861000000002,-21.114,-267.0,121.4388,0.0,-0.0,0.0,0.0,0.0,0.0,42.35625000000004,-10.79505,-153.0
t48,117.11900000000001,0.0,-0.0,0.0,0.0,0.0,0.0,305.77520000000004,-22.894200000000005,-400.0,85.7454,0.0,-0.0,0.0,0.0,0.0,0.0,1218.3040499999997,-23.049450000000004,-1281.0,1258.217164062495,603.1147359375049,-0.0,0.0,0.0,0.0,0.0,-1571.2178999999999,-21.114,-269.0,116.6564,0.0,-0.0,0.0,0.0,0.0,0.0,47.138650000000005,-10.79505,-153.0
t49,113.417,0.0,-0.0,0.0,0.0,0.0,0.0,303.4771999999999,-22.894200000000005,-394.0,85.801,0.0,-0.0,0.0,0.0,0.0,0.0,1197.24845,-23.049450000000004,-1260.0,1249.0771640624948,585.6587359375052,-0.0,0.0,0.0,0.0,0.0,-1549.6219,-21.114,-264.0,112.89880000000001,0.0,-0.0,0.0,0.0,0.0,0.0,48.89625000000003,-10.79505,-151.0
